Distance,Intercept,Coef1,Coef2,Coef3,Coef4,Coef5
1500m,1574.4489406180705,-68.9780433156188,1.650643605879497,-0.022085038818460342,0.00015569857438577203,-4.5055521297977516e-07
1600m,1697.5588785785649,-74.03999993376739,1.760347243770823,-0.02335984834668361,0.00016310657504506107,-4.6701956630020856e-07
3km,3076.2702540277896,-125.08801341105983,2.828197202057615,-0.03611734651221341,0.000244576051922142,-6.829928693836144e-07
3200m,3433.9583514601773,-146.8138927060025,3.511397485059404,-0.04749639784872363,0.00034023002919045324,-1.002596358412334e-06
5km,5322.109901820664,-221.73686609309019,5.174177741418189,-0.0680719436918486,0.00047312327934319483,-1.3508459067143183e-06
10km,11268.995454140773,-477.47894204890736,11.268508974802167,-0.14952558778935066,0.0010476734491658925,-3.0160253784956133e-06
15km,17180.139006352896,-718.9733436875356,16.789013193970547,-0.22110229777217535,0.0015408771785697885,-4.417877500275003e-06
HM,24107.339299917316,-985.578789107971,22.622868465367453,-0.29418370523519793,0.0020297619215784747,-5.770602409848954e-06
M,47779.4138430022,-1910.6290466696337,43.772801686246886,-0.5721295663152667,0.0039745315894807965,-1.1377343699142387e-05
