Distance,Intercept,Coef1,Coef2,Coef3,Coef4,Coef5
Easy Km,1221.9490577433542,-48.39537999498166,1.0958061910218928,-0.014115456784233973,9.678840113096184e-05,-2.74577207397247e-07
M Km,1270.272039072904,-53.41112671020205,1.2112286308607991,-0.015118759940686009,9.841744437041402e-05,-2.618578838033169e-07
T Km,1054.7420229444594,-42.391955301561744,0.9814489042615225,-0.01297276123179108,9.144161632368066e-05,-2.6658558663133197e-07
I Km,1058.4578933457015,-47.37553271751425,1.2130249807864857,-0.01752076261198026,0.0001331271531940784,-4.1291243567215654e-07
Long Km,1277.217513137044,-47.78404135999149,1.0348852305821892,-0.012619848728299164,7.99741496830182e-05,-2.0258373489088958e-07
R Km,1332.0386155942608,-71.59419621706276,1.9430497677857475,-0.027423078225190006,0.00019167176574486002,-5.205341671321036e-07
